1@1@Jack Abbott;@Courtesy of Clive Abbott.
2@2@Ray Adie and Vivian Fuchs;@Courtesy of British Antarctic Survey.
3@3@"Royal Princes, Eddy and George;"@© National Portrait Gallery London.
4@5@Prince Alfred by John Webber.@© National Portrait Gallery London.
5@6@FB Alison;@"Courtesy of the National Archives, London."
6@7@Governor Allardyce;@Falkland Islands Government Archives.
7@7@Governor and Mrs Allardyce and daughters;@Falkland Islands Government Archives.
8@9@JG Andersson;@Courtesy of Dr Peter Wilson.
9@10@Christian Andreasen;@Falkland Islands Government Archives.
10@11@Lord Anson; after Sir Joshua Reynolds;@© National Portrait Gallery London.
11@13@Governor Arrowsmith;@Falkland Islands Museum & National Trust.
12@13@Governor Arrowsmith: team photo;@Falkland Islands Government Archives. 
13@14@Governor Arthur;@Falkland Islands Government Archives.
14@15@Isabella Atkins.@Courtesy of Major Ronnie Spafford.
15@18@Louis Baillon and sons;@Courtesy of Ms Kate Hattersley.
16@19@Dick Baker.@Photograph by Peter King.
17@21@ACS Barkly and Mrs Barkly;@Courtesy of Graham Pascoe.
18@22@William Barlas;@Courtesy of Ian Hart.
19@24@Charles H Barnard;@From Barnard’s Narrative.
20@25@Jack Barnes;@Falkland Islands Government Archives.
21@26@William Bartlett;@Courtesy of the South American Missionary Society.
22@27@AG Barton in group;@Courtesy of Lord Hurd of Westwell.
23@28@RB Baseley;@Courtesy of Christopher Bonner.
24@29@The Jhelum;@Courtesy of Michael Stammers.
25@31@Thomas Beaty;@Courtesy of Mrs Margaret Cockburn.
26@34@Admiral von Bellingshausen; @Courtesy of the Scott Polar Research Institute.
27@35@CPW Bender;@Courtesy of the Rev Peter Millam.
28@36@Arthur George Bennett;@Courtesy of Neville Bennett.
29@37@Harold Bennett;@Courtesy of Neville Bennett.
30@38@Stanley Bennett;@Courtesy of Neville Bennett.
31@39@Søren Berntsen;@Courtesy of Karl Jan Skontorp.
32@40@Cecil and Kitty Bertrand;@Courtesy of Mrs Sally Blake.
33@41@W Bertrand;@Courtesy of Mrs Sally Blake.
34@42@TAV (Vans) Best;@Courtesy of the Earl of Sandwich.
35@43@Betty Biggs;@Photograph by Miranda McKee.
36@44@Noel Biggs;@Courtesy of Mrs Noeline Sloggie.
37@46@Madge Biggs;@
38@47@Edward Binnie;@Courtesy of the Thomas Binnie Foundation.
39@48@[John Biscoe] Attacking the right whale;@"Peabody Essex Museum, Salem MA."
40@49@Bishop Blair;@Courtesy of the South American Missionary Society.
41@50@Bridget Blake;@Courtesy of Mrs Sally Blake.
42@51@LG (Tim) Blake;@Courtesy of Tim Blake. Copyright Norman Clark.
43@54@Sir Arthur Blomfield;@© National Portrait Gallery London.
44@56@Malvina Bolus;@Courtesy of Peter Reid.
45@57@Antony Bomford;@Courtesy of Bernadette Hince.
46@62@Christopher Bonner with John;@Courtesy of Christopher Bonner.
47@61@George Bonner;@Courtesy of Christopher Bonner.
48@62@John Bonner;@Courtesy of Christopher Bonner.
49@62@Susan Bonner;@Courtesy of Christopher Bonner.
50@63@[Jack Bonner] Group at San Carlos;@Courtesy of Christopher Bonner.
51@63@Jack Bonner;@Courtesy of Christopher Bonner.
52@64@Nigel Bonner;@Courtesy of Mrs Jennifer Bonner.
53@65@Stuart Booth;@Courtesy of SA Booth.
54@66@Daniel Borland;@Courtesy of Professor Jim McAdam.
55@67@Louis-Antoine de Bougainville;@Courtesy of the Library and Archives of Canada.
56@67@Louis-Antoine de Bougainville;@"Courtesy of Museo Mitre, Buenos Aires."
57@70@HL Bound;@Courtesy of Graham Bound.
58@71@Map by Thomas Boutflower;@© The British Library. All rights reserved.
59@72@Willie Bowles;@"Courtesy of W Bowles, copyright Norman Clark."
60@76@Dean Brandon and Mrs Brandon;@Falkland Islands Government Archives.
61@77@Thomas Bridges;@Courtesy of the South American Missionary Society.
62@78@[Matthew Brisbane] Laying Brisbane’s new gravestone@Courtesy of Mrs Diana Giles.
63@82@WS Bruce;@Courtesy of Royal Scottish Geographical Society.
64@83@James Bryce;@© National Portrait Gallery London.
65@85@Charles Bull;@Courtesy of Falkland Islands Government Archives.
66@86@Malcolm Burley;@Courtesy of Cdr Malcolm Burley.
67@87@WG Burn-Murdoch;@Courtesy of Glasgow Digital Library.
68@88@Jose Bustamente y Guerra;@"Artist unknown. Courtesy of Museo Naval, Madrid."
69@90@Jemmy Button;@"From Narrative of the surveying expedition of HMS Adventure and Beagle (King, FitzRoy and Darwin, 1839)."
70@91@Admiral John Byron;@"© National Maritime Museum, Greenwich."
71@93@Lords Callaghan and Shackleton: @Copyright held by Tomas Jaski Ltd.
72@93@Governor Callaghan;@Falkland Islands Government Archives.
73@95@NK Cameron;@Courtesy of Miss Jane Cameron.
74@96@WK Cameron;@Courtesy of Miss Jane Cameron.
75@97@Ian Thomas Campbell;@Courtesy of Mrs Nadine Campbell.
76@99@Governor Cardinall;@© Imperial War Museum.
77@99@Governor Cardinall;@© Imperial War Museum.
78@101@Envelope addressed by Maude Carey;@Courtesy of Malcolm Barton and Postmaster of the Falkland Islands.
79@102@Duncan Carse;@Courtesy of BAS and the heirs of Duncan Carse.
80@106@Lord Chalfont;@Courtesy of John Leonard.
81@106@Lord Chalfont;@Courtesy of John Leonard.
82@107@The Rev Paul Charman;@Courtesy of Paul Charman.
83@110@Fred Cheek;@Courtesy of Gerald Cheek.
84@111@EW Hunter Christie;@Courtesy of Mrs Merle Christie.
85@112@Harry Clagg;@Courtesy of Lance Tickell.
86@115@[SW Clayton] Clayton’s lead plate;@"Courtesy of The National Archives, London."
87@116@Wick Clement;@Courtesy of Mrs Sally Blake.
88@117@Sir Miles Clifford;@Falkland Islands Government Archives.
89@117@Sir Miles and Lady Clifford;@Falkland Islands Museum & National Trust.
90@118@The Rev Titus Coan;@From Adventure in Patagonia.
91@119@AF Cobb;@Courtesy of Falkland Islands Government Archives.
92@121@FE Cobb;@Courtesy of Falkland Islands Government Archives.
93@121@FE Cobb;@Courtesy of  of the Falkland Islands company.
94@122@John Cobb;@Courtesy of the Falkland Islands Company.
95@123@John Wright Collins;@Courtesy of Falkland Islands Government Archives.
96@124@CF Condell;@Courtesy of Falkland Islands Government Archives.
97@125@[CONDOR] The CONDOR hijackers on the racecourse@Courtesy of Edmundo Murray.
98@125@[CONDOR] Briefing the passengers@Courtesy of John Leonard.
99@126@Captain James Cook;@© National Portrait Gallery London.
100@127@Willy Cordier;@Courtesy of Karlheinz Olsinger.
101@128@Ewan Corlett;@Courtesy of SS Great Britain Trust.
102@130@Sir Christopher Cradock;@© Imperial War Museum.
103@134@Dan Cronin;@Courtesy of Mary Cronin.
104@135@Captain FRM Crozier.@Courtesy of the Royal Geographical Society.
105@138@John Pownall Dale;@Courtesy of the Falkland Islands Company.
